iter	Passed	Remaining
655	4388	2301
656	4394	2294
657	4400	2287
658	4407	2280
659	4414	2273
660	4420	2267
661	4426	2260
662	4433	2253
663	4439	2246
664	4446	2240
665	4452	2233
666	4459	2226
667	4466	2219
668	4472	2212
669	4479	2206
670	4486	2199
671	4492	2192
672	4498	2185
673	4505	2179
674	4512	2172
675	4518	2165
676	4525	2159
677	4531	2152
678	4538	2145
679	4545	2138
680	4551	2132
681	4558	2125
682	4564	2118
683	4571	2111
684	4578	2105
685	4585	2098
686	4592	2092
687	4598	2085
688	4604	2078
689	4611	2071
690	4617	2064
691	4624	2058
692	4631	2051
693	4637	2044
694	4644	2038
695	4651	2031
696	4658	2025
697	4664	2018
698	4671	2011
699	4678	2005
700	4684	1998
701	4692	1991
702	4698	1985
703	4706	1978
704	4712	1971
705	4718	1964
706	4725	1958
707	4731	1951
708	4738	1944
709	4744	1938
710	4751	1931
711	4758	1924
712	4764	1917
713	4772	1911
714	4778	1904
715	4785	1898
716	4791	1891
717	4798	1884
718	4805	1878
719	4811	1871
720	4818	1864
721	4825	1857
722	4831	1850
723	4838	1844
724	4844	1837
725	4851	1831
726	4858	1824
727	4864	1817
728	4870	1810
729	4877	1803
730	4884	1797
731	4890	1790
732	4896	1783
733	4903	1777
734	4909	1770
735	4917	1763
736	4923	1757
737	4930	1750
738	4937	1743
739	4943	1736
740	4951	1730
741	4957	1723
742	4965	1717
743	4971	1710
744	4977	1703
745	4985	1697
746	4992	1690
747	5001	1684
748	5007	1678
749	5015	1671
750	5021	1664
751	5029	1658
752	5035	1651
753	5041	1644
754	5048	1638
755	5055	1631
756	5061	1624
757	5068	1618
758	5076	1611
759	5084	1605
760	5093	1599
761	5100	1593
762	5107	1586
763	5114	1580
764	5122	1573
765	5130	1567
766	5137	1560
767	5145	1554
768	5152	1547
769	5161	1541
770	5168	1535
771	5176	1528
772	5183	1522
773	5191	1515
774	5198	1509
775	5205	1502
776	5212	1495
777	5218	1489
778	5225	1482
779	5231	1475
780	5237	1468
781	5244	1462
782	5250	1455
783	5257	1448
784	5264	1441
785	5270	1435
786	5276	1428
787	5283	1421
788	5291	1415
789	5297	1408
790	5304	1401
791	5310	1394
792	5317	1387
793	5324	1381
794	5330	1374
795	5337	1367
796	5343	1361
797	5349	1354
798	5357	1347
799	5363	1340
800	5371	1334
801	5377	1327
802	5384	1320
803	5391	1314
804	5397	1307
805	5404	1300
806	5410	1294
807	5418	1287
808	5424	1280
809	5430	1273
810	5438	1267
811	5445	1260
812	5452	1254
813	5459	1247
814	5466	1240
815	5473	1234
816	5480	1227
817	5487	1220
818	5494	1214
819	5502	1207
820	5509	1201
821	5517	1194
822	5524	1188
823	5531	1181
824	5538	1174
825	5544	1167
826	5552	1161
827	5556	1154
828	5562	1147
829	5569	1140
830	5575	1133
831	5582	1127
832	5588	1120
833	5595	1113
834	5602	1107
835	5608	1100
836	5616	1093
837	5622	1086
838	5629	1080
839	5635	1073
840	5643	1066
841	5649	1060
842	5656	1053
843	5663	1046
844	5669	1040
845	5677	1033
846	5684	1026
847	5690	1019
848	5696	1013
849	5703	1006
850	5710	999
851	5716	993
852	5723	986
853	5730	979
854	5737	973
855	5744	966
856	5751	959
857	5758	953
858	5764	946
859	5771	939
860	5778	932
861	5784	926
862	5792	919
863	5798	912
864	5806	906
865	5812	899
866	5819	892
867	5827	886
868	5833	879
869	5840	872
870	5846	865
871	5853	859
872	5860	852
873	5866	845
874	5873	839
875	5880	832
876	5887	825
877	5893	818
878	5900	812
879	5908	805
880	5914	798
881	5922	792
882	5928	785
883	5935	778
884	5941	772
885	5947	765
886	5955	758
887	5961	751
888	5969	745
889	5975	738
890	5981	731
891	5988	725
892	5994	718
893	6002	711
894	6009	704
895	6015	698
896	6021	691
897	6028	684
898	6036	678
899	6042	671
900	6048	664
901	6055	657
902	6062	651
903	6071	644
904	6078	638
905	6086	631
906	6092	624
907	6099	618
908	6105	611
909	6112	604
910	6119	597
911	6125	591
912	6132	584
913	6139	577
914	6146	570
915	6152	564
916	6158	557
917	6165	550
918	6171	543
919	6178	537
920	6184	530
921	6190	523
922	6197	517
923	6203	510
924	6210	503
925	6217	496
926	6223	490
927	6230	483
928	6236	476
929	6243	469
930	6249	463
931	6256	456
932	6264	449
933	6270	443
934	6277	436
935	6284	429
936	6291	423
937	6297	416
938	6304	409
939	6310	402
940	6317	396
941	6324	389
942	6330	382
943	6336	375
944	6344	369
945	6350	362
946	6357	355
947	6365	349
948	6374	342
949	6384	336
950	6393	329
951	6400	322
952	6409	316
953	6417	309
954	6425	302
955	6433	296
956	6441	289
957	6449	282
958	6458	276
959	6464	269
960	6471	262
961	6478	255
962	6484	249
963	6492	242
964	6498	235
965	6505	228
966	6512	222
967	6521	215
968	6527	208
969	6533	202
970	6540	195
971	6546	188
972	6553	181
973	6560	175
974	6566	168
975	6572	161
976	6579	154
977	6586	148
978	6592	141
979	6599	134
980	6606	127
981	6612	121
982	6620	114
983	6626	107
984	6633	101
985	6639	94
986	6646	87
987	6653	80
988	6659	74
989	6666	67
990	6672	60
991	6678	53
992	6686	47
993	6692	40
994	6699	33
995	6706	26
996	6714	20
997	6720	13
998	6726	6
999	6733	0
