iter	Logloss
0	0.6893464175
1	0.6853835552
2	0.6816830492
3	0.6779347736
4	0.6748017246
5	0.6728307441
6	0.6705332899
7	0.6687785574
8	0.6669328768
9	0.6640432369
10	0.6626344036
11	0.6604164658
12	0.6582412987
13	0.656460829
14	0.6553501246
15	0.6540830526
16	0.6530828977
17	0.6520695354
18	0.6506760699
19	0.6498614889
20	0.6492993904
21	0.6475989165
22	0.6460871418
23	0.6451475731
24	0.6443072398
25	0.6436897179
26	0.6429444992
27	0.6419713511
28	0.6413725811
29	0.6406404445
30	0.6402529549
31	0.6395401127
32	0.6384914822
33	0.6377671061
34	0.6370443335
35	0.6361848206
36	0.6348596739
37	0.6342776889
38	0.6336151184
39	0.633038944
40	0.6324550524
41	0.6315024987
42	0.6310540415
43	0.6296797565
44	0.6291232181
45	0.6283593089
46	0.6278761193
47	0.627310807
48	0.6268579645
49	0.6261508703
50	0.6257564648
51	0.6249965612
52	0.6241930386
53	0.6238872095
54	0.6234117506
55	0.6230372593
56	0.6225782257
57	0.6220971714
58	0.6213609867
59	0.6208788024
60	0.6205019873
61	0.6200643765
62	0.6197917208
63	0.6189858321
64	0.6185706184
65	0.6182062758
66	0.6176165509
67	0.6172251696
68	0.6168110456
69	0.6163107409
70	0.6158730975
71	0.6156082347
72	0.615291234
73	0.6150310685
74	0.6145417656
75	0.6140567342
76	0.6137683048
77	0.6134781718
78	0.6129819592
79	0.6125309688
80	0.6122610204
81	0.6118788034
82	0.6116289149
83	0.6110046916
84	0.6104645348
85	0.6102223823
86	0.6095072972
87	0.6091552184
88	0.6087601225
89	0.6083926994
90	0.6079650665
91	0.607778024
92	0.6074662269
93	0.6070537074
94	0.6066850024
95	0.6063970406
96	0.6060826628
97	0.6057870583
98	0.6054893533
99	0.6050328513
100	0.6041779378
101	0.6039039556
102	0.6035667986
103	0.6033125295
104	0.6031010837
105	0.6026568661
106	0.6023567778
107	0.601912138
108	0.6018187034
109	0.6015488413
110	0.6008816065
111	0.600536163
112	0.6003352075
113	0.5999713418
114	0.599793035
115	0.5994632325
116	0.5992064628
117	0.5988975461
118	0.5987327989
119	0.5985055013
120	0.5982535516
121	0.5979796474
122	0.597589587
123	0.5973017014
124	0.5971151645
125	0.5969234294
126	0.5966066193
127	0.5966011291
128	0.5962790448
129	0.5960171512
130	0.5957853063
131	0.5955305895
132	0.5952945672
133	0.5950235455
134	0.5944297147
135	0.5941464758
136	0.5939682082
137	0.5936706279
138	0.5935203234
139	0.5932970764
140	0.5929907661
141	0.592582176
142	0.5923574237
143	0.5920666016
144	0.5917721583
145	0.5915763577
146	0.5912821516
147	0.5910529771
148	0.5907167423
149	0.5905965848
150	0.5903387876
151	0.5900537419
152	0.5898064864
153	0.5893645138
154	0.5891383368
155	0.5886774255
156	0.5885072608
157	0.5883782665
158	0.5882028425
159	0.5881180733
160	0.5878363277
161	0.5876435925
162	0.5873624755
163	0.5870515635
164	0.5867450294
165	0.5864883169
166	0.5862926565
167	0.5860064915
168	0.5859571923
169	0.5858183557
170	0.5855194888
171	0.5853189329
172	0.5852203756
173	0.5848811702
174	0.5846061611
175	0.5843637342
176	0.5842004723
177	0.5836383958
178	0.5833104812
179	0.5831583817
180	0.5829357445
181	0.5828857641
182	0.5826805735
183	0.5823627392
184	0.5821082365
185	0.5815718785
186	0.5813052128
187	0.5811827811
188	0.5806662538
189	0.580506471
190	0.5803061225
191	0.5800697254
192	0.579815767
193	0.5793392244
194	0.5789444582
195	0.5787981835
196	0.5784464907
197	0.5783510783
198	0.5781009131
199	0.5777269968
200	0.577509622
201	0.5773459238
202	0.5771567901
203	0.5770493313
204	0.5769109106
205	0.5767164465
206	0.5762206645
207	0.5758224189
208	0.575343819
